user_id,claim_object,claim_status_gemini,claim_status_groq,claim_status_openrouter,claim_status_nvidia,claim_status_consensus,issue_type_gemini,issue_type_groq,issue_type_openrouter,issue_type_nvidia,issue_type_consensus,object_part_gemini,object_part_groq,object_part_openrouter,object_part_nvidia,object_part_consensus,severity_gemini,severity_groq,severity_openrouter,severity_nvidia,severity_consensus
user_002,car,contradicted,supported,contradicted,not_enough_information,"✗ DISAGREE: {'supported', 'contradicted', 'not_enough_information'}",none,scratch,none,none,"✗ DISAGREE: {'scratch', 'none'}",front_bumper,front_bumper,front_bumper,front_bumper,✓ AGREE,none,low,none,unknown,"✗ DISAGREE: {'low', 'none'}"
user_003,car,not_enough_information,not_enough_information,not_enough_information,not_enough_information,✓ AGREE,dent,scratch,dent,dent,"✗ DISAGREE: {'scratch', 'dent'}",door,body,door,quarter_panel,"✗ DISAGREE: {'door', 'quarter_panel', 'body'}",unknown,unknown,unknown,unknown,✓ AGREE
user_004,car,supported,supported,supported,supported,✓ AGREE,dent,dent,dent,dent,✓ AGREE,door,door,door,door,✓ AGREE,high,medium,high,medium,"✗ DISAGREE: {'medium', 'high'}"
user_005,car,supported,supported,supported,supported,✓ AGREE,dent,dent,dent,dent,✓ AGREE,door,door,door,door,✓ AGREE,medium,low,medium,low,"✗ DISAGREE: {'low', 'medium'}"
user_007,car,not_enough_information,not_enough_information,not_enough_information,not_enough_information,✓ AGREE,none,unknown,none,none,✓ AGREE,body,side_mirror,body,body,"✗ DISAGREE: {'side_mirror', 'body'}",unknown,unknown,unknown,unknown,✓ AGREE
user_008,car,not_enough_information,not_enough_information,not_enough_information,not_enough_information,✓ AGREE,unknown,unknown,unknown,unknown,✓ AGREE,hood,hood,hood,hood,✓ AGREE,unknown,unknown,unknown,unknown,✓ AGREE
user_011,car,not_enough_information,not_enough_information,supported,not_enough_information,"✗ DISAGREE: {'supported', 'not_enough_information'}",glass_shatter,glass_shatter,broken_part,glass_shatter,"✗ DISAGREE: {'broken_part', 'glass_shatter'}",headlight,headlight,headlight,headlight,✓ AGREE,unknown,unknown,high,unknown,✓ AGREE
user_014,car,supported,supported,supported,supported,✓ AGREE,glass_shatter,glass_shatter,glass_shatter,glass_shatter,✓ AGREE,windshield,windshield,windshield,windshield,✓ AGREE,high,high,high,high,✓ AGREE
user_016,car,not_enough_information,not_enough_information,not_enough_information,not_enough_information,✓ AGREE,unknown,dent,dent,dent,✓ AGREE,unknown,door,door,door,✓ AGREE,unknown,unknown,unknown,unknown,✓ AGREE
user_017,laptop,supported,contradicted,contradicted,supported,"✗ DISAGREE: {'supported', 'contradicted'}",glass_shatter,none,none,glass_shatter,"✗ DISAGREE: {'glass_shatter', 'none'}",screen,screen,screen,screen,✓ AGREE,high,none,none,high,"✗ DISAGREE: {'high', 'none'}"
user_018,laptop,contradicted,not_enough_information,contradicted,contradicted,"✗ DISAGREE: {'contradicted', 'not_enough_information'}",none,unknown,none,none,✓ AGREE,keyboard,keyboard,keyboard,keyboard,✓ AGREE,none,unknown,none,none,✓ AGREE
user_019,laptop,contradicted,not_enough_information,supported,supported,"✗ DISAGREE: {'supported', 'contradicted', 'not_enough_information'}",broken_part,none,broken_part,broken_part,"✗ DISAGREE: {'broken_part', 'none'}",body,screen,hinge,hinge,"✗ DISAGREE: {'screen', 'hinge', 'body'}",high,unknown,high,high,✓ AGREE
user_020,laptop,contradicted,contradicted,contradicted,contradicted,✓ AGREE,none,none,none,none,✓ AGREE,trackpad,trackpad,trackpad,trackpad,✓ AGREE,none,none,none,none,✓ AGREE
user_022,laptop,not_enough_information,contradicted,contradicted,contradicted,"✗ DISAGREE: {'contradicted', 'not_enough_information'}",unknown,none,none,none,✓ AGREE,unknown,screen,screen,screen,✓ AGREE,unknown,none,none,none,✓ AGREE
user_025,laptop,contradicted,supported,contradicted,contradicted,"✗ DISAGREE: {'supported', 'contradicted'}",none,broken_part,none,none,"✗ DISAGREE: {'broken_part', 'none'}",keyboard,keyboard,keyboard,keyboard,✓ AGREE,none,low,none,none,"✗ DISAGREE: {'low', 'none'}"
user_026,laptop,not_enough_information,not_enough_information,not_enough_information,contradicted,"✗ DISAGREE: {'contradicted', 'not_enough_information'}",glass_shatter,glass_shatter,glass_shatter,glass_shatter,✓ AGREE,unknown,unknown,unknown,screen,✓ AGREE,unknown,unknown,unknown,high,✓ AGREE
user_027,laptop,not_enough_information,supported,supported,supported,"✗ DISAGREE: {'supported', 'not_enough_information'}",unknown,crack,water_damage,glass_shatter,"✗ DISAGREE: {'glass_shatter', 'water_damage', 'crack'}",unknown,screen,screen,screen,✓ AGREE,unknown,medium,high,high,"✗ DISAGREE: {'medium', 'high'}"
user_028,laptop,not_enough_information,contradicted,supported,contradicted,"✗ DISAGREE: {'supported', 'contradicted', 'not_enough_information'}",unknown,broken_part,broken_part,broken_part,✓ AGREE,unknown,base,hinge,base,"✗ DISAGREE: {'base', 'hinge'}",unknown,high,high,high,✓ AGREE
user_029,package,not_enough_information,supported,contradicted,supported,"✗ DISAGREE: {'supported', 'contradicted', 'not_enough_information'}",unknown,crushed_packaging,crushed_packaging,crushed_packaging,✓ AGREE,unknown,package_corner,box,package_corner,"✗ DISAGREE: {'box', 'package_corner'}",unknown,high,high,medium,"✗ DISAGREE: {'medium', 'high'}"
user_030,package,not_enough_information,contradicted,supported,not_enough_information,"✗ DISAGREE: {'supported', 'contradicted', 'not_enough_information'}",unknown,torn_packaging,torn_packaging,none,"✗ DISAGREE: {'torn_packaging', 'none'}",unknown,package_side,seal,package_side,"✗ DISAGREE: {'seal', 'package_side'}",unknown,low,low,unknown,✓ AGREE
user_031,package,not_enough_information,supported,supported,contradicted,"✗ DISAGREE: {'supported', 'contradicted', 'not_enough_information'}",unknown,water_damage,water_damage,water_damage,✓ AGREE,unknown,box,box,package_side,"✗ DISAGREE: {'box', 'package_side'}",unknown,low,medium,medium,"✗ DISAGREE: {'low', 'medium'}"
user_032,package,not_enough_information,contradicted,contradicted,contradicted,"✗ DISAGREE: {'contradicted', 'not_enough_information'}",unknown,none,none,none,✓ AGREE,unknown,contents,contents,contents,✓ AGREE,unknown,none,none,none,✓ AGREE
user_033,package,not_enough_information,contradicted,contradicted,contradicted,"✗ DISAGREE: {'contradicted', 'not_enough_information'}",unknown,torn_packaging,torn_packaging,torn_packaging,✓ AGREE,unknown,package_side,contents,seal,"✗ DISAGREE: {'seal', 'package_side', 'contents'}",unknown,medium,medium,medium,✓ AGREE
user_034,package,not_enough_information,supported,contradicted,supported,"✗ DISAGREE: {'supported', 'contradicted', 'not_enough_information'}",unknown,torn_packaging,none,crushed_packaging,"✗ DISAGREE: {'crushed_packaging', 'torn_packaging', 'none'}",unknown,box,box,box,✓ AGREE,unknown,low,none,medium,"✗ DISAGREE: {'low', 'medium', 'none'}"
user_036,package,not_enough_information,supported,supported,supported,"✗ DISAGREE: {'supported', 'not_enough_information'}",unknown,torn_packaging,crushed_packaging,torn_packaging,"✗ DISAGREE: {'crushed_packaging', 'torn_packaging'}",unknown,box,box,package_side,"✗ DISAGREE: {'box', 'package_side'}",unknown,low,medium,low,"✗ DISAGREE: {'low', 'medium'}"
user_037,package,not_enough_information,contradicted,supported,supported,"✗ DISAGREE: {'supported', 'contradicted', 'not_enough_information'}",unknown,torn_packaging,crushed_packaging,torn_packaging,"✗ DISAGREE: {'crushed_packaging', 'torn_packaging'}",unknown,package_corner,box,package_side,"✗ DISAGREE: {'box', 'package_corner', 'package_side'}",unknown,medium,high,medium,"✗ DISAGREE: {'medium', 'high'}"
user_038,package,not_enough_information,supported,contradicted,contradicted,"✗ DISAGREE: {'supported', 'contradicted', 'not_enough_information'}",unknown,crushed_packaging,crushed_packaging,none,"✗ DISAGREE: {'crushed_packaging', 'none'}",unknown,contents,box,contents,"✗ DISAGREE: {'box', 'contents'}",unknown,medium,high,none,"✗ DISAGREE: {'medium', 'high', 'none'}"
user_039,package,not_enough_information,contradicted,supported,supported,"✗ DISAGREE: {'supported', 'contradicted', 'not_enough_information'}",unknown,torn_packaging,stain,crushed_packaging,"✗ DISAGREE: {'stain', 'crushed_packaging', 'torn_packaging'}",unknown,box,box,package_side,"✗ DISAGREE: {'box', 'package_side'}",unknown,medium,high,medium,"✗ DISAGREE: {'medium', 'high'}"
user_040,package,not_enough_information,not_enough_information,not_enough_information,not_enough_information,✓ AGREE,unknown,none,none,none,✓ AGREE,unknown,box,box,package_side,"✗ DISAGREE: {'box', 'package_side'}",unknown,unknown,unknown,unknown,✓ AGREE
user_041,car,not_enough_information,contradicted,not_enough_information,not_enough_information,"✗ DISAGREE: {'contradicted', 'not_enough_information'}",unknown,scratch,scratch,scratch,✓ AGREE,unknown,body,unknown,unknown,✓ AGREE,unknown,medium,unknown,unknown,✓ AGREE
user_042,car,not_enough_information,not_enough_information,not_enough_information,not_enough_information,✓ AGREE,unknown,unknown,none,none,✓ AGREE,unknown,taillight,taillight,taillight,✓ AGREE,unknown,unknown,unknown,unknown,✓ AGREE
user_043,car,not_enough_information,not_enough_information,supported,supported,"✗ DISAGREE: {'supported', 'not_enough_information'}",unknown,unknown,broken_part,scratch,"✗ DISAGREE: {'scratch', 'broken_part'}",unknown,body,body,body,✓ AGREE,unknown,unknown,medium,medium,✓ AGREE
user_044,laptop,not_enough_information,supported,supported,supported,"✗ DISAGREE: {'supported', 'not_enough_information'}",unknown,glass_shatter,glass_shatter,glass_shatter,✓ AGREE,unknown,screen,screen,screen,✓ AGREE,unknown,high,high,high,✓ AGREE
user_045,laptop,not_enough_information,not_enough_information,not_enough_information,not_enough_information,✓ AGREE,unknown,unknown,none,none,✓ AGREE,unknown,corner,lid,lid,"✗ DISAGREE: {'corner', 'lid'}",unknown,unknown,none,none,✓ AGREE
user_046,car,not_enough_information,contradicted,supported,contradicted,"✗ DISAGREE: {'supported', 'contradicted', 'not_enough_information'}",unknown,broken_part,broken_part,broken_part,✓ AGREE,unknown,door,side_mirror,door,"✗ DISAGREE: {'door', 'side_mirror'}",unknown,high,high,high,✓ AGREE
user_047,car,not_enough_information,supported,supported,supported,"✗ DISAGREE: {'supported', 'not_enough_information'}",unknown,dent,dent,dent,✓ AGREE,unknown,door,door,door,✓ AGREE,unknown,medium,high,medium,"✗ DISAGREE: {'medium', 'high'}"
