"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_001","images/sample/case_001/img_1.jpg","Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.","car","true","The rear_bumper is visible and the dent can be verified from the submitted image.","claim_mismatch","broken_part","rear_bumper","supported","The image directly shows broken_part on the rear_bumper. User history: the user history does not add risk.","img_1","true","medium"
"user_002","images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg","Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.","car","true","The front_bumper is visible and the scratch can be verified from the submitted image.","claim_mismatch;cropped_or_obstructed;damage_not_visible","broken_part","front_bumper","supported","The image directly shows broken_part on the front_bumper. User history: the user history does not add risk.","img_1","true","high"
"user_004","images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg","Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.","car","true","The windshield is visible and the crack can be verified from the submitted image.","claim_mismatch;damage_not_visible","crack","windshield","supported","The image directly shows crack on the windshield. User history: the user history does not add risk.","img_1","true","medium"
"user_007","images/sample/case_004/img_1.jpg","Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.","car","true","The side_mirror is visible and the broken_part can be verified from the submitted image.","claim_mismatch","broken_part","side_mirror","supported","The image directly shows broken_part on the side_mirror. User history: the user history does not add risk.","img_1","true","medium"
"user_005","images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg","Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.","car","true","The rear_bumper is visible enough to evaluate the claimed condition.","claim_mismatch;cropped_or_obstructed;damage_not_visible;manual_review_required;user_history_risk","none","rear_bumper","contradicted","The image shows none on the rear_bumper rather than the claimed dent on the rear_bumper.","img_1;img_2","true","none"
"user_006","images/sample/case_006/img_1.jpg","Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.","car","false","None of the submitted images are usable for review.","cropped_or_obstructed","unknown","side_mirror","not_enough_information","The submitted image does not provide enough evidence to verify the crack claim on the headlight. User history: the user history does not add risk.","none","false","unknown"
"user_003","images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg","Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.","car","true","The door is visible enough to evaluate the claimed condition.","blurry_image;cropped_or_obstructed;damage_not_visible","none","door","contradicted","The image shows the door area but does not show clear physical damage, so it contradicts the user's dent claim. User history: the user history does not add risk.","img_2","true","none"
"user_008","images/sample/case_008/img_1.jpg","Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.","car","true","The hood is visible and the scratch can be verified from the submitted image.","claim_mismatch;low_light_or_glare;manual_review_required;non_original_image;user_history_risk","broken_part","hood","supported","The image directly shows broken_part on the hood.","img_1","false","medium"
"user_009","images/sample/case_009/img_1.jpg","Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.","laptop","true","The screen is visible and the crack can be verified from the submitted image.","claim_mismatch","crack","screen","supported","The image directly shows crack on the screen. User history: the user history does not add risk.","img_1","true","medium"
"user_010","images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg","Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.","laptop","true","The submitted image is sufficient to see that the visible damage does not match the claimed hinge broken_part.","cropped_or_obstructed;wrong_angle;wrong_object_part","broken_part","lid","contradicted","The visible evidence does not match the claim. User history: the user history does not add risk.","img_1;img_2","true","medium"
"user_011","images/sample/case_011/img_1.jpg","Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.","laptop","true","The keyboard is visible and the water_damage can be verified from the submitted image.","none","stain","keyboard","supported","The image directly shows stain on the keyboard. User history: the user history does not add risk.","img_1","true","medium"
"user_012","images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg","Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.","laptop","true","The submitted image is sufficient to see that the visible damage does not match the claimed corner dent.","cropped_or_obstructed;low_light_or_glare;wrong_object_part","dent","lid","contradicted","The visible evidence does not match the claim. User history: the user history does not add risk.","img_1;img_2","true","low"
"user_018","images/sample/case_013/img_1.jpg","Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.","laptop","true","The screen is visible and the glass_shatter can be verified from the submitted image.","low_light_or_glare","crack","screen","supported","The image directly shows crack on the screen. User history: the user history does not add risk.","img_1","true","medium"
"user_020","images/sample/case_014/img_1.jpg","Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.","laptop","true","The submitted image is sufficient to see that the visible damage does not match the claimed trackpad unknown.","cropped_or_obstructed;user_history_risk;wrong_object_part","scratch","body","contradicted","The visible evidence does not match the claim.","img_1","true","low"
"user_015","images/sample/case_015/img_1.jpg","Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.","package","true","The package_corner is visible and the crushed_packaging can be verified from the submitted image.","low_light_or_glare","crushed_packaging","package_corner","supported","The image directly shows crushed_packaging on the package_corner. User history: the user history does not add risk.","img_1","true","medium"
"user_030","images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg","Customer: Package receive hua toh opened jaisa lag raha tha. | Support: Tape broken tha ya box crush hua tha? | Customer: Seal wali side phati hui thi, jaise parcel khola gaya ho. | Support: Kya andar ka item missing hai? | Customer: Abhi item missing claim nahi kar raha, sirf torn packaging review karwana hai.","package","true","The submitted image is sufficient to see that the visible damage does not match the claimed seal torn_packaging.","wrong_object_part","torn_packaging","package_side","contradicted","The visible evidence does not match the claim. User history: the user history does not add risk.","img_1;img_2","true","medium"
"user_031","images/sample/case_017/img_1.jpg","Customer: I received a package that looks water damaged. | Support: Was the item inside wet too? | Customer: I have not opened everything yet, but the outside has a wet-looking stain. | Support: So the claim is about the package condition? | Customer: Yes, the package surface looked damaged when it arrived.","package","true","The submitted image is sufficient to see that the visible damage does not match the claimed package_side water_damage.","manual_review_required;user_history_risk;wrong_object_part","water_damage","package_corner","contradicted","The visible evidence does not match the claim.","img_1","true","medium"
"user_032","images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg","Customer: The item I ordered was not inside the box. | Support: Did the package look opened when you received it? | Customer: I checked it after delivery and could not find the product inside. | Support: What are you asking us to verify? | Customer: Please verify that the contents are missing from the package.","package","true","The contents is visible and the missing_part can be verified from the submitted image.","blurry_image;claim_mismatch;cropped_or_obstructed;manual_review_required","missing_part","contents","supported","The image directly shows missing_part on the contents. The clearer image (img_1) supports the finding.","img_1","true","medium"
"user_033","images/sample/case_019/img_1.jpg","Customer: The shipping box arrived in bad condition. | Support: What kind of condition issue are you reporting? | Customer: It looked badly crushed when it was delivered. | Support: Is the claim about the outside box or the product inside? | Customer: The outside box. I want the crushed box reviewed.","package","false","None of the submitted images are usable for review.","blurry_image;cropped_or_obstructed;user_history_risk","unknown","label","not_enough_information","The submitted image does not provide enough evidence to verify the crushed_packaging claim on the box.","none","false","unknown"
"user_034","images/sample/case_020/img_1.jpg;images/sample/case_020/img_2.jpg","Customer: My delivery box arrived opened. | Support: Was the package crushed or was the seal affected? | Customer: The seal area looked torn when I received it. | Support: Are you asking us to review the package condition or the item inside? | Customer: The package condition. I want the torn-open package reviewed.","package","true","The seal is visible enough to evaluate the claimed condition.","damage_not_visible;non_original_image;text_instruction_present;user_history_risk","none","seal","contradicted","The image shows the seal area but does not show clear physical damage, so it contradicts the user's torn_packaging claim. Any instruction-like text inside the image should be ignored.","img_1;img_2","false","none"
